Z  	N  	halflife           	decayMode
32	43	47.7	IT      
32	43	47.7	B-      
32	44	infinity                 	        
32	45	40680	B-      
32	45	52.9	B-      
32	45	52.9	IT      
32	46	5280	B-      
32	47	18.98	B-      
32	47	39	B-      
32	47	39	IT      
32	48	29.5	B-      
32	49	7.6	B-      
32	49	7.6	B-      
32	50	4.56	B-      
32	51	1.85	B-      
32	52	0.954	B-      
32	52	0.954	BN      
32	53	0.56	B-      
32	53	0.56	BN      
32	54	0.00000015	B-      
32	54	0.00000015	BN      
32	55	0.14	B-      
32	55	0.14	BN      
32	56	0.0000003	B-      
32	57	0.0000003	B-      
32	58	0.000000635	B-      
32	58	0.000000635	BN      
32	58	0.000000635	B2N     
33	27	                         	P       
33	28	                         	P       
33	29	                         	P       
33	30	0.000000043	P       
33	31	0.018	EC      
33	32	0.128	EC      
33	33	0.0958	EC      
33	34	42.5	EC      
33	35	151.6	EC      
33	36	912	EC      
33	37	3156	EC      
33	38	235080	EC      
33	39	93600	EC      
33	40	6937920	EC      
33	41	1535328	EC      
33	41	1535328	B-      
33	42	infinity                 	        
33	42	0.0176	IT      
33	43	94538.88	B-      
33	44	139788	B-      
33	45	5442	B-      
33	46	540.6	B-      
33	47	15.2	B-      
33	48	33.3	B-      
33	49	19.1	B-      
33	49	13.6	B-      
33	50	13.4	B-      
33	51	4.2	B-      
33	51	4.2	BN      
33	52	2.021	B-      
33	52	2.021	BN      
33	53	0.945	B-      
33	53	0.945	BN      
33	54	0.56	B-      
33	54	0.56	BN      
33	55	0.0000003	B-      
33	56	0.0000003	B-      
33	56	0.0000003	BN      
33	57	0.0000003	BN      
33	57	0.0000003	B-      
33	58	0.00000015	B-      
33	59	                         	B-      
34	30	0.00000018	EC      
34	31	0.033	EC      
34	31	0.033	EP      
34	32	                         	        
34	33	0.136	EC      
34	33	0.136	EP      
34	34	35.5	EC      
34	35	27.4	EP      
34	35	27.4	EC      
34	36	2466	EC      
34	37	284.4	EC      
34	38	725760	EC      
34	39	25740	EC      
34	39	2388	IT      
34	39	2388	EC      
34	40	infinity                 	        
34	41	10350000	EC      
34	42	infinity                 	        
34	43	infinity                 	        
34	43	17.4	IT      
34	44	infinity                 	        
34	45	9309000000000	B-      
34	45	235.2	IT      
34	45	235.2	B-      
34	46	infinity                 	2B-     
34	47	1107	B-      
34	47	3436.8	IT      
34	47	3436.8	B-      
34	48	infinity                 	        
34	49	1338	B-      
34	49	70.1	B-      
34	50	195.6	B-      
34	51	32.9	B-      
34	52	14.3	B-      
34	53	5.5	B-      
34	53	5.5	BN      
34	54	1.53	B-      
34	54	1.53	BN      
34	55	0.41	B-      
34	55	0.41	BN      
34	56	0.0000003	B-      
34	56	0.0000003	BN      
34	57	0.27	B-      
34	57	0.27	BN      
34	58	                         	B-      
34	59	                         	B-      
34	60	0.00000015	B-      
34	61	0.0000003	B-      
34	61	0.0000003	BN      
34	61	0.0000003	B2N     
35	32	                         	P       
35	33	0.0000012	P       
35	34	0.000000024	P       
35	35	0.0791	EC      
35	35	2.2	EC      
35	36	21.4	EC      
35	37	78.6	EC      
35	37	10.6	IT      
35	37	10.6	EC      
35	38	204	EC      
35	39	1524	EC      
35	39	2760	EC      
35	40	5802	EC      
35	41	58320	EC      
35	41	1.31	IT      
35	41	1.31	EC      
35	42	205329.6	EC      
35	42	256.8	IT      
35	43	387	EC      
35	43	387	B-      
35	44	infinity                 	        
35	44	5.1	IT      
35	45	1060.8	B-      
35	45	1060.8	EC      
35	45	15913.8	IT      
35	46	infinity                 	        
35	47	127015.2	B-      
35	47	367.8	IT      
35	47	367.8	B-      
35	48	8640	B-      
35	49	1905.6	B-      
35	49	360	B-      
35	50	174	B-      
35	51	55.1	B-      
35	52	55.65	B-      
35	52	55.65	BN      
35	53	16.29	B-      
35	53	16.29	BN      
35	54	4.4	B-      
35	54	4.4	BN      
35	55	1.91	B-      
35	55	1.91	BN      
35	56	0.541	BN      
35	56	0.541	B-      
35	57	0.343	B-      
35	57	0.343	BN      
35	58	0.102	B-      
35	58	0.102	BN      
35	59	0.07	B-      
35	59	0.07	BN      
35	60	0.00000015	B-      
35	60	0.00000015	BN      
35	61	0.00000015	B-      
35	61	0.00000015	BN      
35	62	0.0000003	B-      
35	63	0.000000634	B-      
35	63	0.000000634	BN      
35	63	0.000000634	B2N     
36	33	0.032	EC      
36	34	0.052	EC      
36	34	0.052	EP      
36	35	0.1	EC      
36	35	0.1	EP      
36	36	17.1	EC      
36	36	17.1	EP      
36	37	27.3	EC      
36	37	27.3	EP      
36	38	690	EC      
36	39	257.4	EC      
36	40	53280	EC      
36	41	4464	EC      
36	42	47340000000000000000000000000	2EC     
36	43	126144	EC      
36	43	50	IT      
36	44	infinity                 	        
36	45	7227000000000	EC      
36	45	13.1	IT      
36	45	13.1	EC      
36	46	infinity                 	        
36	47	infinity                 	        
36	47	6660	IT      
36	48	infinity                 	        
36	49	339300000	B-      
36	49	16128	B-      
36	49	16128	IT      
36	50	infinity                 	        
36	51	4578	B-      
36	52	10224	B-      
36	53	189	B-      
36	54	32.32	B-      
36	55	8.57	B-      
36	56	1.84	B-      
36	56	1.84	BN      
36	57	1.286	B-      
36	57	1.286	BN      
36	58	0.212	B-      
36	58	0.212	BN      
36	59	0.114	B-      
36	59	0.114	BN      
36	60	0.08	B-      
36	60	0.08	BN      
36	61	0.063	B-      
36	61	0.063	BN      
36	62	0.046	B-      
36	62	0.046	BN      
36	63	0.013	B-      
36	63	0.013	BN      
36	64	0.007	B-      
36	64	0.007	BN      
36	65	0.000000635	B-      
36	65	0.000000635	BN      
36	65	0.000000635	B2N     
37	34	                         	P       
37	35	0.0000012	P       
37	36	0.00000003	EC      
37	36	0.00000003	P       
37	37	0.0649	EC      
37	38	19	EC      
37	39	36.5	EC      
37	39	36.5	EA      
37	40	226.2	EC      
37	41	1059.6	EC      
37	41	344.4	EC      
37	41	344.4	IT      
37	42	1374	EC      
37	43	33.4	EC      
37	44	16459.2	EC      
37	44	1830	IT      
37	44	1830	EC      
37	45	75.45	EC      
37	45	23299.2	EC      
37	45	23299.2	IT      
37	46	7447680	EC      
37	47	2835648	EC      
37	47	2835648	B-      
37	47	1215.6	IT      
37	48	infinity                 	        
37	49	1610668.8	B-      
37	49	1610668.8	EC      
37	49	61.02	IT      
37	49	61.02	B-      
37	50	1518000000000000000	B-      
37	51	1066.38	B-      
37	52	909	B-      
37	53	158	B-      
37	53	258	B-      
37	53	258	IT      
37	54	58.4	B-      
37	55	4.492	B-      
37	55	4.492	BN      
37	56	5.84	B-      
37	56	5.84	BN      
37	57	2.702	B-      
37	57	2.702	BN      
37	58	0.378	B-      
37	58	0.378	BN      
37	59	0.203	B-      
37	59	0.203	BN      
37	60	0.169	B-      
37	60	0.169	BN      
37	61	0.102	BN      
37	61	0.102	B2N     
37	61	0.102	B-      
37	61	0.096	B-      
37	62	0.054	B-      
37	62	0.054	BN      
37	63	0.051	B-      
37	63	0.051	BN      
37	63	0.051	B2N     
37	64	0.032	B-      
37	64	0.032	BN      
37	65	0.037	B-      
37	65	0.037	BN      
37	66	0.000000633	B-      
37	66	0.000000633	BN      
38	35	0.025	EC      
38	35	0.025	EP      
38	36	0.0000012	EC      
38	37	0.088	EC      
38	37	0.088	EP      
38	38	7.89	EC      
38	38	7.89	EP      
38	39	9	EC      
38	39	9	EP      
38	40	160	EC      
38	41	135	EC      
38	42	6378	EC      
38	43	1338	EC      
38	44	2189376	EC      
38	45	116675.1	EC      
38	45	4.95	IT      
38	46	infinity                 	        
38	47	5603039.1	EC      
38	47	4057.8	IT      
38	47	4057.8	EC      
38	48	infinity                 	        
38	49	infinity                 	        
38	49	10134	IT      
38	49	10134	EC      
38	50	infinity                 	        
38	51	4365792	B-      
38	52	912000000	B-      
38	53	34668	B-      
38	54	9576	B-      
38	55	445.8	B-      
38	56	75.3	B-      
38	57	23.9	B-      
38	58	1.07	B-      
38	59	0.429	B-      
38	59	0.429	BN      
38	60	0.653	B-      
38	60	0.653	BN      
38	61	0.269	B-      
38	61	0.269	BN      
38	62	0.202	B-      
38	62	0.202	BN      
38	63	0.118	B-      
38	63	0.118	BN      
38	64	0.069	B-      
38	64	0.069	BN      
38	65	0.068	B-      
38	66	0.043	B-      
38	67	0.04	B-      
38	68	0.000000392	B2N     
38	68	0.000000392	B-      
38	68	0.000000392	BN      
38	69	0.000000395	B-      
38	69	0.000000395	BN      
38	69	0.000000395	B2N     
39	37	0.0000002	EC      
39	37	0.0000002	P       
39	38	0.057	EC      
39	38	0.057	EP      
39	38	0.057	P       
39	39	0.053	EP      
39	39	0.053	EC      
39	39	5.8	EC      
39	39	5.8	EP      
39	40	14.8	EC      
39	40	14.8	EP      
39	41	30.1	EC      
39	41	30.1	EP      
39	41	4.8	IT      
39	41	4.8	EC      
39	42	70.4	EC      
39	43	8.3	EC      
39	44	424.8	EC      
39	44	171	EC      
39	44	171	IT      
39	45	2370	EC      
39	45	4.6	EC      
39	46	9648	EC      
39	46	17496	EC      
39	46	17496	IT      
39	47	53064	EC      
39	47	2880	IT      
39	47	2880	EC      
39	48	287280	EC      
39	48	48132	IT      
39	48	48132	EC      
39	49	9212486.4	EC      
39	50	infinity                 	        
39	50	15.663	IT      
39	51	230590.8	B-      
39	51	11484	IT      
39	51	11484	B-      
39	52	5055264	B-      
39	52	2982.6	IT      
39	52	2982.6	B-      
39	53	12744	B-      
39	54	36648	B-      
39	54	0.82	IT      
39	55	1122	B-      
39	56	618	B-      
39	57	5.34	B-      
39	57	9.6	B-      
39	58	3.75	B-      
39	58	3.75	BN      
39	58	1.17	B-      
39	58	1.17	IT      
39	58	1.17	BN      
39	58	0.142	IT      
39	58	0.142	B-      
39	59	0.548	B-      
39	59	0.548	BN      
39	59	2	B-      
39	59	2	IT      
39	59	2	BN      
39	60	1.484	BN      
39	60	1.484	B-      
39	61	0.735	B-      
39	61	0.735	BN      
39	61	0.94	B-      
39	62	0.45	B-      
39	62	0.45	BN      
39	63	0.36	B-      
39	63	0.36	BN      
39	63	0.298	B-      
39	63	0.298	BN      
39	64	0.23	B-      
39	64	0.23	BN      
39	65	0.197	B-      
39	65	0.197	BN      
39	66	0.085	B-      
39	66	0.085	BN      
39	67	0.062	B-      
39	68	0.041	B-      
39	69	0.025	B-      
39	69	0.025	BN      
39	70	0.000000393	BN      
39	70	0.000000393	B2N     
39	70	0.000000393	B-      
40	38	0.00000017	EC      
40	39	0.056	EC      
40	39	0.056	EP      
40	40	4.6	EC      
40	40	4.6	EP      
40	41	5.5	EC      
40	41	5.5	EP      
40	42	32	EC      
40	43	41.6	EP      
40	43	41.6	EC      
40	44	1548	EC      
40	45	471.6	EC      
40	45	10.9	IT      
40	45	10.9	EC      
40	46	59400	EC      
40	47	6048	EC      
40	47	14	IT      
40	48	7205760	EC      
40	49	282276	EC      
40	49	249.66	IT      
40	49	249.66	EC      
40	50	infinity                 	        
40	50	0.809	IT      
40	51	infinity                 	        
40	52	infinity                 	        
40	53	50808000000000	B-      
40	54	infinity                 	        
40	55	5532364.8	B-      
40	56	741600000000000000000000000	2B-     
40	57	60296.4	B-      
40	58	30.7	B-      
40	59	2.1	B-      
40	60	7.1	B-      
40	61	2.3	B-      
40	62	2.9	B-      
40	63	1.32	B-      
40	63	1.32	BN      
40	64	0.87	B-      
40	64	0.87	BN      
40	65	0.66	B-      
40	65	0.66	BN      
40	66	0.191	B-      
40	66	0.191	BN      
40	67	0.138	B-      
40	67	0.138	BN      
40	68	0.073	B-      
40	68	0.073	BN      
40	69	0.063	B-      
40	69	0.063	BN      
40	70	0.037	B-      
40	71	0.000000392	BN      
40	71	0.000000392	B2N     
40	71	0.000000392	B-      
40	72	0.000000394	B-      
40	72	0.000000394	BN      
40	72	0.000000394	B2N     
41	40	0.0000002	EC      
41	41	0.05	EC      
41	41	0.05	EP      
41	42	3.8	EC      
41	43	9.8	EC      
41	43	9.8	EP      
41	44	20.5	EC      
41	44	12	EC      
41	44	12	IT      
41	44	3.3	EC      
41	44	3.3	IT      
41	45	88	EC      
41	46	225	EC      
41	46	156	EC      
41	47	873	EC      
41	47	466.8	EC      
41	48	7307.1	EC      
41	48	3960	EC      
41	49	52560	EC      
41	49	18.81	IT      
41	50	21460000000	EC      
41	50	5258304	IT      
41	50	5258304	EC      
41	51	1095000000000000	EC      
41	51	1095000000000000	B-      
41	51	876960	EC      
41	52	infinity                 	        
41	52	508710000	IT      
41	53	640600000000	B-      
41	53	375.78	IT      
41	53	375.78	B-      
41	54	3023222.4	B-      
41	54	311904	IT      
41	54	311904	B-      
41	55	84060	B-      
41	56	4326	B-      
41	56	58.7	IT      
41	57	2.86	B-      
41	57	3078	B-      
41	57	3078	IT      
41	58	15	B-      
41	58	150	B-      
41	58	150	IT      
41	59	1.5	B-      
41	59	2.99	B-      
41	60	7.1	B-      
41	61	4.3	B-      
41	61	1.3	B-      
41	62	1.5	B-      
41	63	4.9	B-      
41	63	4.9	BN      
41	63	0.94	B-      
41	63	0.94	BN      
41	64	2.95	B-      
41	64	2.95	BN      
41	65	0.93	B-      
41	65	0.93	BN      
41	66	0.3	B-      
41	66	0.3	BN      
41	67	0.22	B-      
41	67	0.22	BN      
41	68	0.106	B-      
41	68	0.106	BN      
41	69	0.086	B-      
41	69	0.086	BN      
41	70	0.051	B-      
41	71	0.033	B-      
41	72	0.0000003	B-      
41	73	0.000000392	B2N     
41	73	0.000000392	B-      
41	73	0.000000392	BN      
41	74	0.000000394	B-      
41	74	0.000000394	BN      
41	74	0.000000394	B2N     
42	41	0.006	EC      
42	42	2.3	EC      
42	42	2.3	EP      
42	43	3.2	EC      
42	43	3.2	EP      
42	44	19.1	EC      
42	45	14.02	EP      
42	45	14.02	EC      
42	46	480	EC      
42	47	126.6	EC      
42	47	0.19	IT      
42	48	20016	EC      
42	49	929.4	EC      
42	49	64.6	EC      
42	49	64.6	IT      
42	50	infinity                 	        
42	51	126200000000	EC      
42	51	24660	IT      
42	51	24660	EC      
42	52	infinity                 	        
42	53	infinity                 	        
42	54	infinity                 	        
42	55	infinity                 	        
42	56	infinity                 	        
42	57	237513.6	B-      
42	58	230400000000000000000000000	2B-     
42	59	876.6	B-      
42	60	678	B-      
42	61	67.5	B-      
42	62	60	B-      
42	63	35.6	B-      
42	64	8.73	B-      
42	65	3.5	B-      
42	66	1.09	B-      
42	66	1.09	BN      
42	67	0.66	B-      
42	67	0.66	BN      
42	68	0.27	B-      
42	68	0.27	BN      
42	69	0.22	B-      
42	69	0.22	BN      
42	70	0.12	B-      
42	71	0.078	B-      
42	72	0.06	B-      
42	73	0.051	B-      
42	73	0.051	BN      
42	74	0.000000391	B-      
42	74	0.000000391	BN      
42	75	0.000000393	BN      
42	75	0.000000393	B2N     
42	75	0.000000393	B-      
43	42	0.5	P       
43	43	0.054	EC      
43	43	0.054	EP      
43	44	2.2	EC      
43	45	5.8	EC      
43	45	6.4	EC      
43	46	12.8	EC      
43	46	12.9	EC      
43	46	12.9	IT      
43	47	8.7	EC      
43	47	49.2	EC      
43	48	188.4	EC      
43	48	198	EC      
43	48	198	IT      
43	49	255	EC      
43	50	9900	EC      
43	50	2610	IT      
43	50	2610	EC      
43	51	17580	EC      
43	51	3120	IT      
43	51	3120	EC      
43	52	72000	EC      
43	52	5270400	EC      
43	52	5270400	IT      
43	53	369792	EC      
43	53	3090	IT      
43	53	3090	EC      
43	54	132900000000000	EC      
43	54	7862400	IT      
43	54	7862400	EC      
43	55	132500000000000	B-      
43	56	6662000000000	B-      
43	56	21624.12	IT      
43	56	21624.12	B-      
43	57	15.46	B-      
43	57	15.46	EC      
43	58	841.2	B-      
43	59	5.28	B-      
43	59	261	B-      
43	59	261	IT      
43	60	54.2	B-      
43	61	1098	B-      
43	62	456	B-      
43	63	35.6	B-      
43	64	21.2	B-      
43	65	5.17	B-      
43	66	0.86	B-      
43	66	0.86	BN      
43	67	0.92	B-      
43	67	0.92	BN      
43	68	0.35	B-      
43	68	0.35	BN      
43	69	0.29	B-      
43	69	0.29	BN      
43	70	0.16	B-      
43	70	0.16	BN      
43	71	0.1	B-      
43	71	0.1	BN      
43	71	0.09	B-      
43	71	0.09	BN      
43	72	0.083	B-      
43	72	0.083	BN      
43	73	0.056	B-      
43	74	0.085	B-      
43	75	                         	B-      
43	76	0.000000392	B-      
43	76	0.000000392	BN      
43	76	0.000000392	B2N     
43	77	0.000000394	B-      
43	77	0.000000394	BN      
43	77	0.000000394	B2N     
44	43	0.0000015	EC      
44	44	1.2	EC      
44	45	1.5	EC      
44	45	1.5	EP      
44	46	11.7	EC      
44	47	7.9	EC      
44	47	7.6	IT      
44	47	7.6	EC      
44	47	7.6	EP      
44	48	219	EC      
44	49	59.7	EC      
44	49	10.8	EP      
44	49	10.8	EC      
44	49	10.8	IT      
44	50	3108	EC      
44	51	5914.8	EC      
44	52	infinity                 	        
44	53	244512	EC      
44	54	infinity                 	        
44	55	infinity                 	        
44	56	infinity                 	        
44	57	infinity                 	        
44	58	infinity                 	        
44	59	3390940.8	B-      
44	60	infinity                 	        
44	61	15984	B-      
44	62	32120000	B-      
44	63	225	B-      
44	64	273	B-      
44	65	34.5	B-      
44	66	11.6	B-      
44	67	2.12	B-      
44	68	1.75	B-      
44	69	0.8	B-      
44	69	0.51	B-      
44	70	0.52	B-      
44	71	0.318	B-      
44	71	0.74	B-      
44	71	0.74	BN      
44	71	0.74	B-      
44	71	0.74	BN      
44	71	0.74	B-      
44	71	0.74	BN      
44	72	0.204	B-      
44	73	0.142	B-      
44	74	0.123	B-      
44	74	0.123	BN      
44	75	0.0000003	B-      
44	76	0.00000015	B-      
44	77	0.00000039	B-      
44	77	0.00000039	BN      
44	78	0.000000392	B-      
44	78	0.000000392	BN      
44	79	0.000000394	B2N     
44	79	0.000000394	B-      
44	79	0.000000394	BN      
44	80	0.000000396	B-      
44	80	0.000000396	BN      
45	44	0.0000015	EC      
45	44	0.0000015	P       
45	45	0.012	EC      
45	45	1	EC      
45	46	1.47	EC      
45	46	1.46	EC      
45	47	4.66	EC      
45	47	0.53	EC      
45	48	12.2	EC      
45	49	66	EC      
45	49	66	EP      
45	49	25.8	EC      
45	50	301.2	EC      
45	50	117.6	IT      
45	50	117.6	EC      
45	51	594	EC      
45	51	90.6	IT      
45	51	90.6	EC      
45	52	1842	EC      
45	52	2772	EC      
45	52	2772	IT      
45	53	523.2	EC      
45	53	216	IT      
45	53	216	EC      
45	54	1391040	EC      
45	54	16920	EC      
45	54	16920	IT      
45	55	74880	EC      
45	55	276	EC      
45	55	276	IT      
45	56	104140000	EC      
45	56	374976	EC      
45	56	374976	IT      
45	57	17910000	EC      
45	57	17910000	B-      
45	57	118100000	EC      
45	57	118100000	IT      
45	58	infinity                 	        
45	58	3366.84	IT      
45	59	42.3	EC      
45	59	42.3	B-      
45	59	260.4	IT      
45	59	260.4	B-      
45	60	127296	B-      
45	60	42.9	IT      
45	61	30.07	B-      
45	61	7860	B-      
45	62	1302	B-      
45	63	16.8	B-      
45	63	360	B-      
45	63	360	IT      
45	64	80	B-      
45	65	28.5	B-      
45	65	3.2	B-      
45	66	11	B-      
45	67	3.45	B-      
45	67	6.73	B-      
45	68	2.8	B-      
45	69	1.85	B-      
45	69	1.86	B-      
45	70	0.99	B-      
45	71	0.68	B-      
45	71	0.57	B-      
45	72	0.44	B-      
45	73	0.266	B-      
45	73	0.266	BN      
45	74	0.171	B-      
45	74	0.171	BN      
45	75	0.136	B-      
45	75	0.136	BN      
45	76	0.151	B-      
45	76	0.151	BN      
45	77	0.0000003	B-      
45	77	0.0000003	BN      
45	78	0.000000403	B-      
45	78	0.000000403	BN      
45	79	0.000000391	B-      
45	79	0.000000391	BN      
45	79	0.000000391	B2N     
45	80	0.000000393	B-      
45	80	0.000000393	BN      
45	81	0.000000395	BN      
45	81	0.000000395	B-      
45	81	0.000000395	B2N     
46	45	0.000001	EC      
46	46	0.7	EC      
46	47	1	EC      
46	47	1	EP      
46	48	9.6	EC      
46	49	5	EC      
46	49	13.3	EC      
46	49	13.3	IT      
46	49	13.3	EP      
46	50	122	EC      
46	51	186	EC      
46	52	1062	EC      
46	53	1284	EC      
46	54	313632	EC      
46	55	30492	EC      
46	56	infinity                 	        
46	57	1468022.4	EC      
46	58	infinity                 	        
46	59	infinity                 	        
46	60	infinity                 	        
46	61	205120000000000	B-      
46	61	21.3	IT      
46	62	infinity                 	        
46	63	49324.32	B-      
46	63	281.76	IT      
46	64	infinity                 	        
46	65	1404	B-      
46	65	19800	IT      
46	65	19800	B-      
46	66	75708	B-      
46	67	93	B-      
46	67	0.3	IT      
46	68	145.2	B-      
46	69	25	B-      
46	69	50	B-      
46	69	50	IT      
46	70	11.8	B-      
46	71	4.3	B-      
46	72	1.9	B-      
46	73	0.92	B-      
46	74	0.5	B-      
46	75	0.285	B-      
46	75	0.285	BN      
46	76	0.175	B-      
46	76	0.175	BN      
46	77	0.174	B-      
46	78	0.038	B-      
46	79	0.00000023	B-      
46	79	0.00000023	BN      
46	80	0.00000023	B-      
46	80	0.00000023	BN      
46	82	0.000000394	BN      
46	82	0.000000394	B-      
47	46	                         	P       
47	46	                         	EC      
47	46	                         	EP      
47	47	0.026	EC      
47	47	0.026	EP      
47	47	0.6	EC      
47	47	0.6	EP      
47	47	0.4	2P      
47	47	0.4	EC      
47	47	0.4	EP      
47	47	0.4	P       
47	48	1.75	EC      
47	48	1.75	EP      
47	48	0.5	IT      
47	49	4.4	EC      
47	49	4.4	EP      
47	49	6.9	EC      
47	49	6.9	EP      
47	50	25.5	EC      
47	51	47.5	EP      
47	51	47.5	EC      
47	52	124	EC      
47	52	10.5	IT      
47	53	120.6	EC      
47	53	134.4	EC      
47	53	134.4	IT      
47	54	666	EC      
47	54	3.1	IT      
47	55	774	EC      
47	55	462	EC      
47	55	462	IT      
47	56	3942	EC      
47	56	5.7	IT      
47	57	4152	EC      
47	57	2010	EC      
47	57	2010	IT      
47	58	3567456	EC      
47	58	433.8	IT      
47	58	433.8	EC      
47	59	1437.6	EC      
47	59	1437.6	B-      
47	59	715392	EC      
47	60	infinity                 	        
47	60	44.3	IT      
47	61	142.92	B-      
47	61	142.92	EC      
47	61	13820000000	EC      
47	61	13820000000	IT      
47	62	infinity                 	        
47	62	39.6	IT      
47	63	24.6	B-      
47	63	24.6	EC      
47	63	21580000	B-      
47	63	21580000	IT      
47	64	643680	B-      
47	64	64.8	IT      
47	64	64.8	B-      
47	65	11268	B-      
47	66	19332	B-      
47	66	68.7	IT      
47	66	68.7	B-      
47	67	4.6	B-      
47	68	1200	B-      
47	68	18	B-      
47	68	18	IT      
47	69	237	B-      
47	69	20	B-      
47	69	20	IT      
47	69	9.3	B-      
47	69	9.3	IT      
47	70	72.8	B-      
47	70	5.34	B-      
47	70	5.34	IT      
47	71	3.76	B-      
47	71	2	B-      
47	71	2	IT      
47	72	6	B-      
47	72	2.1	B-      
47	73	1.23	B-      
47	73	1.23	BN      
47	73	0.4	B-      
47	73	0.4	IT      
47	74	0.78	B-      
47	74	0.78	BN      
47	75	0.529	B-      
47	75	0.529	BN      
47	75	0.55	B-      
47	75	0.55	IT      
47	75	0.55	BN      
47	75	0.2	B-      
47	75	0.2	BN      
47	76	0.3	B-      
47	76	0.3	BN      
47	77	0.172	B-      
47	77	0.172	BN      
47	78	0.166	B-      
47	78	0.166	BN      
47	79	0.107	B-      
47	79	0.107	BN      
47	80	0.109	B-      
47	81	0.058	B-      
47	81	0.058	BN      
47	82	0.046	B-      
47	82	0.046	BN      
47	82	0.16	B-      
47	82	0.16	BN      
47	83	0.05	B-      
47	83	0.05	BN      
48	47	                         	EP      
48	47	                         	EC      
48	48	1.03	EC      
48	49	1.1	EC      
48	49	1.1	EP      
48	49	3.7	EC      
48	49	3.7	EP      
48	50	9.2	EP      
48	50	9.2	EC      
48	51	16	EC      
48	51	16	EA      
48	51	16	EP      
48	52	49.1	EC      
48	53	81.6	EC      
48	54	330	EC      
48	55	438	EC      
48	56	3462	EC      
48	57	3330	EC      
48	58	11360000000000000000000000000	2EC     
48	59	23400	EC      
48	60	59960000000000000000000000	2EC     
48	61	39860000	EC      
48	62	infinity                 	        
48	63	infinity                 	        
48	63	2910	IT      
48	64	infinity                 	        
48	65	252500000000000000000000	B-      
48	65	445000000	B-      
48	65	445000000	IT      
48	66	66270000000000000000000000	2B-     
48	67	192456	B-      
48	67	3849984	B-      
48	68	1041400000000000000000000000	2B-     
48	69	8964	B-      
48	69	12096	B-      
48	70	3018	B-      
48	71	161.4	B-      
48	71	132	B-      
48	72	50.8	B-      
48	73	13.5	B-      
48	73	8.3	B-      
48	74	5.24	B-      
48	75	2.1	B-      
48	75	1.82	B-      
48	75	1.82	IT      
48	76	1.25	B-      
48	77	0.68	B-      
48	77	0.48	B-      
48	78	0.515	B-      
48	79	0.37	B-      
48	80	0.28	B-      
48	81	0.27	        
48	82	0.162	B-      
48	82	0.162	BN      
48	83	0.068	B-      
48	83	0.068	BN      
48	84	0.097	B-      
48	84	0.097	BN      
48	85	0.057	B-      
48	85	0.057	BN      
48	85	0.057	B2N     
49	48	                         	P       
49	48	                         	EC      
49	49	0.032	EC      
49	49	1.2	EC      
49	50	3	EC      
49	51	5.9	EC      
49	51	5.9	EP      
49	52	15.1	EC      
49	52	15.1	EP      
49	53	23.3	EC      
49	53	23.3	EP      
49	54	65	EC      
49	54	34	EC      
49	54	34	IT      
49	55	108	EC      
49	55	15.7	IT      
49	55	15.7	EC      
49	56	304.2	EC      
49	56	48	IT      
49	57	372	EC      
49	57	312	EC      
49	58	1944	EC      
49	58	50.4	IT      
49	59	3480	EC      
49	59	2376	EC      
49	60	15001.2	EC      
49	60	80.4	IT      
49	60	0.209	IT      
49	61	17640	EC      
49	61	4146	EC      
49	62	242326.08	EC      
49	62	462	IT      
49	63	898.2	B-      
49	63	898.2	EC      
49	63	1233.6	IT      
49	64	infinity                 	        
49	64	5968.56	IT      
49	65	71.9	B-      
49	65	71.9	EC      
49	65	4277664	IT      
49	65	4277664	EC      
49	66	13920000000000000000000	B-      
49	66	16149.6	B-      
49	66	16149.6	IT      
49	67	14.1	B-      
49	67	14.1	EC      
49	67	3257.4	B-      
49	67	2.18	IT      
49	68	2592	B-      
49	68	6972	B-      
49	68	6972	IT      
49	69	5	B-      
49	69	267	B-      
49	69	8.5	B-      
49	69	8.5	IT      
49	70	144	B-      
49	70	1080	B-      
49	70	1080	IT      
49	71	3.08	B-      
49	71	47.3	B-      
49	71	46.2	B-      
49	72	23.1	B-      
49	72	232.8	B-      
49	72	232.8	IT      
49	73	1.5	B-      
49	73	10.3	B-      
49	73	10.8	B-      
49	74	6.17	B-      
49	74	47.4	B-      
49	75	3.12	B-      
49	75	3.7	B-      
49	76	2.36	B-      
49	76	12.2	B-      
49	77	1.53	B-      
49	77	1.64	B-      
49	78	1.09	B-      
49	78	1.09	BN      
49	78	3.67	B-      
49	78	3.67	BN      
49	78	1.04	B-      
49	79	0.84	B-      
49	79	0.84	BN      
49	79	0.72	B-      
49	79	0.72	BN      
49	80	0.61	B-      
49	80	0.61	BN      
49	80	1.23	B-      
49	80	1.23	BN      
49	80	1.23	IT      
49	80	0.67	B-      
49	81	0.29	B-      
49	81	0.29	BN      
49	81	0.54	B-      
49	81	0.54	BN      
49	81	0.54	B-      
49	81	0.54	BN      
49	82	0.28	BN      
49	82	0.28	B-      
49	82	0.35	B-      
49	82	0.35	BN      
49	82	0.35	IT      
49	82	0.32	B-      
49	82	0.32	IT      
49	82	0.32	BN      
49	83	0.207	B-      
49	83	0.207	BN      
49	84	0.165	BN      
49	84	0.165	B-      
49	84	0.18	B-      
49	84	0.18	IT      
49	84	0.18	BN      
49	85	0.14	B-      
49	85	0.14	BN      
49	86	0.092	B-      
49	86	0.092	BN      
